"CLEISH CASTLE",,,,,,,,,,,,
Grid ref,NT082979,Long,-3.479818,Lat,56.164892,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.80,2.88,0.90,3.00,,,,,,,,
February,3.60,1.85,0.60,3.00,,,,,,,,
March,1.92,2.70,1.10,4.80,,,,,,,,
April,2.58,2.75,2.35,1.60,,,,,,,,
May,3.26,2.10,2.65,2.30,,,,,,,,
June,3.12,2.98,1.80,1.60,,,,,,,,
July,4.71,1.33,1.36,2.20,,,,,,,,
August,5.80,5.00,3.40,4.83,,,,,,,,
September,3.80,1.50,2.90,4.76,,,,,,,,
October,5.50,1.34,3.04,8.80,,,,,,,,
November,6.60,2.48,2.50,4.50,,,,,,,,
December,7.10,1.95,4.60,1.86,,,,,,,,
Total,53.79,28.86,27.20,43.25,,,,,,,,
Calc annual,53.79,28.86,27.20,43.25,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
