"HONITON ST CYRUS",,,,,,,,,,,,
Grid ref,ST147023,Long,-3.212141,Lat,50.813944,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.94,1.59,,,
February,,,,,,,,1.59,1.80,,,
March,,,,,,,,0.99,4.42,,,
April,,,,,,,,5.43,2.52,,,
May,,,,,,,,2.89,2.47,,,
June,,,,,,,,3.06,0.40,,,
July,,,,,,,,1.11,0.90,,,
August,,,,,,,,2.26,1.52,,,
September,,,,,,,,0.03,5.16,,,
October,,,,,,,,9.12,4.95,,,
November,,,,,,,,3.51,1.70,,,
December,,,,,,,,5.58,2.98,,,
Total,,,,,,,,36.51,30.41,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.51,30.41,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
