"WARRENPOINT THE MANOR HOUSE",,,,,,,,,,,,
Grid ref,IJ1448618072,Long,-6.250474,Lat,54.099152,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.98,2.76,2.26,,
February,,,,,,,,1.75,1.84,1.64,,
March,,,,,,,,2.25,4.73,3.23,,
April,,,,,,,,2.79,3.15,4.37,,
May,,,,,,,,4.27,2.36,2.23,,
June,,,,,,,,4.42,1.71,2.20,,
July,,,,,,,,1.73,4.33,3.17,,
August,,,,,,,,3.36,2.78,1.63,,
September,,,,,,,,1.12,5.09,2.81,,
October,,,,,,,,5.52,3.10,5.22,,
November,,,,,,,,2.82,2.56,1.02,,
December,,,,,,,,4.07,4.51,4.87,,
Total,,,,,,,,35.08,38.92,34.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.08,38.92,34.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
