"BURTON ON STATHER VICARAGE",,,,,,,,,,,,
Grid ref,SE870179,Long,-0.685244,Lat,53.650377,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.24,0.85,0.87,1.52,1.89,0.56,2.89,1.01,0.94,0.81,,
February,3.49,1.64,1.37,1.31,2.78,0.85,2.35,1.65,1.85,0.80,,
March,0.50,1.47,1.48,2.81,1.93,2.90,1.54,1.33,2.90,2.98,,
April,1.01,1.27,1.70,1.46,1.29,1.65,0.54,2.35,2.25,2.60,,
May,1.64,1.08,2.77,3.03,1.86,1.00,1.46,3.63,1.85,1.21,,
June,2.02,1.81,2.52,1.87,0.61,1.44,1.53,3.31,1.13,2.84,,
July,2.07,1.48,2.28,2.80,2.13,2.32,0.70,1.72,2.90,3.89,,
August,4.75,2.73,1.80,2.72,4.03,3.93,1.26,2.08,1.99,4.20,,
September,0.55,1.30,0.67,3.69,1.85,1.66,1.25,0.78,1.26,1.50,,
October,2.81,1.77,2.84,6.53,0.82,1.75,5.98,4.69,0.76,2.52,,
November,2.73,2.88,1.40,1.56,1.17,3.00,2.74,2.15,1.24,0.32,,
December,3.02,4.89,1.74,0.73,1.49,0.57,2.30,2.88,1.41,4.49,,
Total,27.83,23.17,21.44,30.03,21.85,21.63,24.54,27.58,20.48,28.16,,
Calc annual,27.83,23.17,21.44,30.03,21.85,21.63,24.54,27.58,20.48,28.16,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
