"WEDNESBURY (OCKER HILL)",,,,,,,,,,,,
Grid ref,SO972938,Long,-2.042717,Lat,52.542048,,,,,,,
Station no,2328,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.93,1.52,0.75,1.99,2.03,0.97,3.01,1.02,0.97,1.27,,
February,3.12,1.15,1.04,0.95,3.15,0.57,1.79,1.12,1.36,0.52,,
March,0.65,1.66,1.14,3.96,1.37,2.57,0.96,0.97,2.88,2.53,,
April,0.87,1.48,1.66,1.36,1.03,1.68,1.21,1.64,2.57,1.86,,
May,1.60,0.96,2.75,1.87,2.07,0.33,2.37,3.55,3.34,1.32,,
June,2.30,2.42,2.23,1.28,0.27,2.35,2.35,2.80,2.47,3.37,,
July,1.94,1.98,1.23,1.25,2.21,1.54,0.72,2.24,2.11,3.58,,
August,2.81,2.19,4.40,4.17,1.77,3.94,1.16,2.54,3.19,1.73,,
September,0.73,0.76,1.05,2.55,1.68,1.21,1.10,0.79,1.57,2.59,,
October,2.87,1.26,2.14,4.67,0.35,1.21,4.34,5.05,2.00,3.19,,
November,2.45,1.01,1.52,1.55,1.57,1.97,2.57,2.27,1.89,0.78,,
December,3.66,3.72,1.21,1.53,1.51,0.63,1.86,2.66,2.00,4.20,,
Total,25.93,20.11,21.12,27.13,19.01,18.97,23.44,26.65,26.35,26.94,,
Calc annual,25.93,20.11,21.12,27.13,19.01,18.97,23.44,26.65,26.35,26.94,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
