"PATSHULL PARK",,,,,,,,,,,,
Grid ref,SJ802009,Long,-2.293804,Lat,52.605518,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.22,1.85,1.07,1.70,2.34,0.83,3.41,1.41,1.08,0.83,,
February,3.87,1.36,1.03,1.18,3.74,0.70,1.46,1.46,0.97,0.55,,
March,1.33,2.09,1.28,4.24,1.61,3.13,1.01,1.14,4.08,2.73,,
April,0.62,1.78,1.82,1.60,1.08,1.94,1.40,2.62,2.84,2.32,,
May,1.82,1.28,3.05,2.88,2.06,0.38,2.89,3.30,2.98,1.35,,
June,2.15,1.61,1.92,1.35,0.54,1.81,2.32,3.32,2.96,3.52,,
July,1.78,3.73,1.44,1.65,2.11,2.09,1.64,2.09,1.97,3.81,,
August,3.61,2.48,4.93,5.48,2.67,4.11,1.91,3.86,2.87,1.65,,
September,0.68,0.88,1.39,3.70,2.13,1.11,1.16,1.16,3.25,2.91,,
October,3.18,2.30,2.47,5.09,0.72,1.31,3.75,5.38,2.04,3.01,,
November,2.14,1.42,1.81,1.85,1.36,2.69,2.63,2.56,2.13,0.69,,
December,3.80,3.32,1.52,1.82,1.74,0.69,2.11,2.69,2.56,4.75,,
Total,27.20,24.10,23.73,32.54,22.10,20.79,25.69,30.99,29.73,28.12,,
Calc annual,27.20,24.10,23.73,32.54,22.10,20.79,25.69,30.99,29.73,28.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
