"BARMOUTH RAILWAY STATION",,,,,,,,,,,,
Grid ref,SH612158,Long,-4.056553,Lat,52.721991,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.20,,
February,,,,,,,,,,1.25,,
March,,,,,,,,,,2.31,,
April,,,,,,,,,,3.39,,
May,,,,,,,,,,1.99,,
June,,,,,,,,,,2.72,,
July,,,,,,,,,,4.83,,
August,,,,,,,,,,2.42,,
September,,,,,,,,,,3.46,,
October,,,,,,,,,,7.25,,
November,,,,,,,,,,1.94,,
December,,,,,,,,,,6.89,,
Total,,,,,,,,,,40.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
