"COLMONELL KNOCKDOLIAN",,,,,,,,,,,,
Grid ref,NX122857,Long,-4.947248,Lat,55.129968,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.64,,
February,,,,,,,,,,2.78,,
March,,,,,,,,,,3.00,,
April,,,,,,,,,,2.34,,
May,,,,,,,,,,1.61,,
June,,,,,,,,,,2.45,,
July,,,,,,,,,,5.83,,
August,,,,,,,,,,3.00,,
September,,,,,,,,,,2.48,,
October,,,,,,,,,1.70,6.25,,
November,,,,,,,,,4.74,1.57,,
December,,,,,,,,,4.78,4.59,,
Total,,,,,,,,,,39.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.22,39.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
