"GLYNCORRWG COLLIERY",,,,,,,,,,,,
Grid ref,SS887999,Long,-3.611443,Lat,51.686790,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.37,6.86,8.74,11.63,11.86,3.71,13.23,6.53,11.18,3.54,,
February,10.78,2.32,3.51,8.82,9.37,4.45,7.43,5.09,5.23,1.64,,
March,1.71,5.39,5.08,14.78,4.57,11.59,5.73,5.18,7.07,8.04,,
April,3.99,8.48,5.02,3.54,8.10,6.96,1.94,7.16,2.84,6.55,,
May,4.90,2.27,4.20,6.38,6.85,1.10,9.65,4.60,7.03,3.25,,
June,6.70,4.50,5.12,1.86,2.71,8.02,3.19,13.88,2.36,5.15,,
July,2.72,2.04,2.65,5.58,5.67,4.77,3.75,5.65,9.72,7.92,,
August,8.18,7.12,4.74,14.35,7.39,9.08,8.70,12.52,7.37,2.98,,
September,6.72,4.98,2.53,9.84,4.64,4.36,2.76,2.88,5.55,8.19,,
October,10.15,5.74,9.18,20.35,8.14,3.95,12.65,10.91,2.24,18.54,,
November,9.27,3.57,6.68,6.60,6.28,7.87,10.84,7.90,4.75,4.25,,
December,15.39,11.57,8.60,7.09,8.63,3.84,5.70,12.11,8.40,17.78,,
Total,91.88,64.84,66.05,110.82,84.21,69.70,85.57,94.41,73.74,87.83,,
Calc annual,91.88,64.84,66.05,110.82,84.21,69.70,85.57,94.41,73.74,87.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
