"HUNTINGDON BRAMPTON",,,,,,,,,,,,
Grid ref,TL213706,Long,-0.221762,Lat,52.320107,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.99,0.91,0.69,2.07,1.81,1.11,3.38,1.03,1.09,0.84,,
February,4.12,0.94,1.08,0.75,2.91,0.72,1.71,1.00,1.24,0.32,,
March,0.60,2.45,1.51,2.48,1.46,2.08,1.84,1.01,2.55,3.49,,
April,0.82,2.56,0.97,1.35,0.71,1.55,0.56,3.05,2.40,1.52,,
May,1.26,0.97,3.01,2.52,1.65,1.26,1.84,4.32,1.41,1.03,,
June,2.16,1.41,2.50,3.60,0.61,3.18,3.49,1.44,0.91,4.26,,
July,1.20,1.93,1.30,3.39,1.53,0.68,0.63,1.93,2.56,3.40,,
August,2.39,1.48,1.93,3.05,1.31,3.15,1.02,2.07,3.00,1.71,,
September,0.34,1.01,1.28,1.68,2.07,1.55,1.02,0.71,2.83,2.60,,
October,1.96,1.78,1.81,5.35,1.14,1.18,3.41,3.43,1.42,3.46,,
November,1.60,1.22,1.55,2.30,1.47,1.95,4.02,2.65,0.79,0.47,,
December,2.93,3.01,1.18,1.31,1.78,0.95,2.30,3.28,1.56,3.27,,
Total,22.37,19.67,18.81,29.85,18.45,19.36,25.22,25.92,21.76,26.37,,
Calc annual,22.37,19.67,18.81,29.85,18.45,19.36,25.22,25.92,21.76,26.37,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
