"CHESTER WATERWORKS",,,,,,,,,,,,
Grid ref,SJ421665,Long,-2.868056,Lat,53.192418,,,,,,,
Station no,2797,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,3.63,1.67,2.42,2.06,0.84,4.09,1.11,1.79,1.90,,
February,3.24,1.35,1.82,1.37,3.12,1.04,1.96,1.16,1.72,0.43,,
March,1.12,1.85,2.12,4.19,1.69,2.50,1.49,1.53,2.52,1.98,,
April,1.08,1.94,1.94,1.66,0.72,1.72,0.77,1.71,2.81,1.92,,
May,1.56,1.32,4.26,2.59,1.83,0.83,2.54,3.30,2.81,0.97,,
June,2.97,2.44,1.59,1.14,2.11,2.95,1.27,3.64,1.78,2.50,,
July,2.64,3.95,2.23,3.40,1.75,2.79,1.07,2.77,3.07,3.35,,
August,6.32,3.36,2.95,3.50,3.58,2.79,2.49,2.40,2.64,2.54,,
September,0.96,1.05,1.24,3.73,2.00,1.36,1.17,0.49,3.37,2.67,,
October,4.34,3.14,3.59,6.07,1.20,1.67,4.40,3.41,1.85,3.31,,
November,4.26,2.83,1.40,3.11,1.62,2.73,1.85,2.23,1.93,0.83,,
December,2.92,4.29,2.52,1.41,2.38,0.43,2.83,1.82,1.99,3.81,,
Total,34.46,31.15,27.33,34.59,24.06,21.65,25.93,25.57,28.28,26.21,,
Calc annual,34.46,31.15,27.33,34.59,24.06,21.65,25.93,25.57,28.28,26.21,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
