"EIGIAU LAKE NO. 3",,,,,,,,,,,,
Grid ref,SH701636,Long,-3.944022,Lat,53.153644,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.94,,4.10,16.57,,,15.38,,,,,
February,9.40,9.90,,36.94,26.56,10.90,,,12.90,17.30,,
March,2.50,,16.20,,,9.09,11.90,,10.60,12.60,,
April,6.60,16.34,,10.25,15.28,10.62,9.52,7.94,12.20,9.20,,
May,6.50,-999.00,16.20,,,,,8.14,10.45,4.10,,
June,7.43,6.60,,2.88,7.99,8.14,14.10,8.64,,,,
July,3.45,,,10.17,,-999.00,2.78,6.91,6.15,9.70,,
August,15.06,16.25,14.50,13.60,17.16,,7.34,4.88,,,,
September,6.17,,,,,,9.14,9.77,18.05,20.10,,
October,12.95,15.06,15.09,20.11,11.32,32.02,14.28,-999.00,13.34,23.10,,
November,12.40,17.10,7.14,28.86,,,12.80,15.98,4.35,,,
December,19.13,15.30,16.04,9.52,13.90,-999.00,18.66,12.65,25.00,21.60,,
Total,112.53,103.00,89.27,148.90,104.20,102.83,116.90,96.00,113.04,117.70,,
Calc annual,112.53,96.55,89.27,148.90,92.21,70.77,115.90,74.91,113.04,117.70,,
Difference,0.00,6.45,-0.00,0.00,11.99,32.06,1.00,21.09,0.00,0.00,,
