"TURVEY",,,,,,,,,,,,
Grid ref,SP940516,Long,-0.627430,Lat,52.154688,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.59,0.76,,,,,,,,,,
February,4.10,0.64,,,,,,,,,,
March,0.69,1.95,,,,,,,,,,
April,0.81,2.13,,,,,,,,,,
May,1.31,1.32,,,,,,,,,,
June,2.59,0.46,,,,,,,,,,
July,1.52,3.19,,,,,,,,,,
August,2.47,1.45,,,,,,,,,,
September,0.36,1.42,,,,,,,,,,
October,1.62,1.75,,,,,,,,,,
November,2.08,0.73,,,,,,,,,,
December,2.56,2.17,,,,,,,,,,
Total,23.70,17.97,,,,,,,,,,
Calc annual,23.70,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
