"SALISBURY LEEHURST",,,,,,,,,,,,
Grid ref,SU148308,Long,-1.790119,Lat,51.076337,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.09,,
February,,,,,,,,,,0.40,,
March,,,,,,,,,,3.81,,
April,,,,,,,,,,1.54,,
May,,,,,,,,,,1.02,,
June,,,,,,,,,,5.80,,
July,,,,,,,,,,3.13,,
August,,,,,,,,,,3.09,,
September,,,,,,,,,,3.16,,
October,,,,,,,,,,5.57,,
November,,,,,,,,,,0.91,,
December,,,,,,,,,,4.34,,
Total,,,,,,,,,,33.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
