"STRATTON POUGHILL",,,,,,,,,,,,
Grid ref,SS221081,Long,-4.528337,Lat,50.845001,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.74,1.94,5.89,2.19,2.36,2.18,,
February,,,,,5.10,1.55,4.96,1.94,2.93,0.65,,
March,,,,,1.85,4.87,2.06,1.24,4.01,4.47,,
April,,,,2.37,1.70,2.89,1.67,5.13,2.38,2.24,,
May,,,,2.11,3.14,0.23,4.40,3.81,1.53,1.50,,
June,,,,1.61,1.31,2.70,1.76,3.39,0.98,2.72,,
July,,,,3.57,5.76,1.77,2.03,2.54,3.23,2.93,,
August,,,,4.69,3.11,3.22,2.14,2.82,3.63,1.79,,
September,,,,3.18,2.72,1.57,1.09,1.25,2.43,1.66,,
October,,,,9.99,2.72,2.95,5.86,7.64,1.37,6.00,,
November,,,,3.14,3.78,4.92,4.57,3.45,2.05,1.49,,
December,,,,3.89,3.63,2.05,4.50,5.33,4.21,5.29,,
Total,,,,45.98,39.56,30.66,40.93,40.73,31.11,32.92,,
Calc annual,0.00,0.00,0.00,34.55,39.56,30.66,40.93,40.73,31.11,32.92,,
Difference,NaN,NaN,NaN,11.43,0.00,0.00,-0.00,0.00,0.00,0.00,,
