"BURNHOPE, FEATHERSTONE ALLOTMENT",,,,,,,,,,,,
Grid ref,NY824392,Long,-2.274935,Lat,54.747445,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.80,,,,,,,,,,
February,,3.00,,,,,,,,,,
March,,3.15,,,,,,,,,,
April,,2.40,,,,,,,,,,
May,,1.60,,,,,,,,,,
June,,3.30,,,,,,,,,,
July,,2.10,,,,,,,,,,
August,,3.25,,,,,,,,,,
September,,2.00,,,,,,,,,,
October,,3.85,,,,,,,,,,
November,5.75,7.56,,,,,,,,,,
December,7.80,5.25,,,,,,,,,,
Total,,41.26,,,,,,,,,,
Calc annual,13.55,41.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
