"CHESTER SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SJ393666,Long,-2.909977,Lat,53.193004,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.23,1.58,1.52,,
February,,,,,,,,1.13,1.36,0.64,,
March,,,,,,,,1.42,2.59,2.01,,
April,,,,,,,,1.24,2.87,1.79,,
May,,,,,,,,3.10,2.54,1.27,,
June,,,,,,,,5.38,1.82,3.20,,
July,,,,,,,,2.58,2.90,2.98,,
August,,,,,,,,2.37,3.02,2.63,,
September,,,,,,,,0.31,3.51,2.60,,
October,,,,,,,,3.36,1.67,3.00,,
November,,,,,,,,2.08,1.93,0.76,,
December,,,,,,,,0.96,1.97,4.25,,
Total,,,,,,,,25.16,27.76,26.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.16,27.76,26.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
