"HORNSEA ELIM LODGE",,,,,,,,,,,,
Grid ref,TA206482,Long,-0.165313,Lat,53.915916,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.10,1.20,1.08,1.50,1.73,0.68,2.62,0.90,1.47,1.02,,
February,4.04,2.21,1.24,0.81,1.80,0.78,1.61,1.75,1.65,1.26,,
March,0.59,1.94,1.26,2.65,1.64,2.13,1.48,1.12,2.76,4.16,,
April,0.88,1.63,1.42,2.62,1.11,1.85,1.07,1.58,2.16,2.18,,
May,1.65,0.44,2.02,2.66,2.13,0.78,1.99,2.98,2.54,1.53,,
June,2.15,1.61,1.68,1.63,0.57,0.93,1.44,3.68,1.13,3.33,,
July,1.53,0.70,2.17,2.81,2.91,1.16,1.33,0.98,2.54,3.43,,
August,3.76,2.75,2.01,2.83,3.10,2.62,1.80,2.26,1.37,4.96,,
September,0.93,0.57,0.48,3.51,0.99,1.93,0.77,0.55,2.80,1.21,,
October,2.51,1.55,2.47,6.19,1.15,2.42,4.77,3.81,1.11,3.44,,
November,2.53,4.06,1.22,2.75,2.29,2.94,3.21,2.59,1.29,0.98,,
December,3.37,3.89,2.10,0.94,1.52,0.68,1.88,2.80,2.31,4.61,,
Total,27.04,22.55,19.15,30.90,20.94,18.90,23.97,25.00,23.13,32.11,,
Calc annual,27.04,22.55,19.15,30.90,20.94,18.90,23.97,25.00,23.13,32.11,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
