"BRANKSOME (BOURNE VALLEY)",,,,,,,,,,,,
Grid ref,SZ059925,Long,-1.917766,Lat,50.732087,,,,,,,
Station no,1588,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.07,0.80,0.90,,
February,,,,,,,,1.31,1.12,0.43,,
March,,,,,,,,0.46,3.63,4.18,,
April,,,,,,,,3.55,2.02,1.33,,
May,,,,,,,,1.58,1.55,1.67,,
June,,,,,,,,1.67,0.53,3.48,,
July,,,,,,,,1.28,1.58,1.87,,
August,,,,,,,,1.74,3.26,2.95,,
September,,,,,,,,0.64,1.98,3.35,,
October,,,,,,,,10.05,1.96,7.63,,
November,,,,,,,,2.64,0.89,0.64,,
December,,,,,,,,3.57,3.03,4.54,,
Total,,,,,,,,29.56,22.35,32.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.56,22.35,32.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
