"KINLOSS",,,,,,,,,,,,
Grid ref,NJ065614,Long,-3.567519,Lat,57.632814,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.96,1.80,1.29,2.63,0.60,1.21,0.89,1.47,2.08,2.33,,
February,1.93,2.11,0.82,2.93,2.53,2.17,2.44,1.09,1.77,0.89,,
March,2.33,1.12,2.10,1.89,0.50,3.71,2.14,1.12,2.63,3.26,,
April,1.73,1.44,0.73,1.30,1.53,1.97,1.75,1.41,1.52,2.06,,
May,0.84,1.40,1.55,1.72,1.59,1.66,3.25,1.83,1.72,2.29,,
June,1.16,2.22,2.26,1.70,0.84,0.44,1.19,4.64,1.13,1.62,,
July,2.91,3.39,3.31,3.20,0.57,1.90,1.86,1.50,1.47,2.70,,
August,3.69,2.46,3.04,2.87,3.86,2.64,2.94,3.01,1.46,1.56,,
September,1.84,1.13,1.17,1.46,2.02,2.16,2.03,0.50,4.01,1.63,,
October,2.84,2.25,1.97,2.77,1.54,3.67,3.22,4.03,0.54,3.06,,
November,2.73,3.32,0.53,2.47,1.47,3.79,5.28,1.80,1.83,2.19,,
December,3.71,3.25,2.86,0.97,2.30,0.72,2.03,1.43,0.78,1.97,,
Total,28.67,25.89,21.63,25.91,19.35,26.04,29.02,23.83,20.94,25.56,,
Calc annual,28.67,25.89,21.63,25.91,19.35,26.04,29.02,23.83,20.94,25.56,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
