"BURY ST EDMUNDS THE ACACIAS",,,,,,,,,,,,
Grid ref,TL854644,Long,0.714331,Lat,52.246544,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.93,1.73,,,,,,,
February,,,,0.19,2.77,,,,,,,
March,,,,2.23,1.62,,,,,,,
April,,,,1.98,0.78,,,,,,,
May,,,,2.31,1.95,,,,,,,
June,,,,3.07,0.68,,,,,,,
July,,,,3.66,2.11,,,,,,,
August,,,,3.90,2.44,,,,,,,
September,,,,3.07,1.15,,,,,,,
October,,,,5.14,1.07,,,,,,,
November,,,,2.07,1.01,,,,,,,
December,,,,1.23,1.72,,,,,,,
Total,,,,30.78,19.03,,,,,,,
Calc annual,0.00,0.00,0.00,30.78,19.03,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
