"DUMBARTON LEVEN SHIPYARD",,,,,,,,,,,,
Grid ref,NS400749,Long,-4.563306,Lat,55.940438,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.40,3.46,3.86,8.94,5.02,2.98,6.07,3.11,6.08,7.37,,
February,4.50,1.78,1.81,9.15,3.56,3.74,4.18,3.84,3.30,3.20,,
March,0.47,2.34,3.12,8.86,2.44,4.32,4.02,4.48,5.11,3.37,,
April,2.67,3.25,1.26,1.13,5.44,2.49,1.04,2.38,1.51,5.29,,
May,3.64,2.00,2.68,2.60,2.83,1.80,4.82,5.20,2.18,2.99,,
June,6.19,2.70,1.89,2.92,1.83,0.88,1.49,3.39,2.56,3.24,,
July,2.63,2.27,2.64,4.78,2.44,2.98,2.84,2.35,3.12,2.99,,
August,3.68,3.84,3.09,6.34,4.34,5.65,4.98,5.31,4.90,2.46,,
September,4.42,3.10,3.58,3.81,4.80,2.36,1.75,1.61,5.53,1.82,,
October,6.79,4.83,3.07,10.74,1.95,3.58,6.74,5.76,1.64,6.63,,
November,6.57,4.24,4.29,3.39,2.76,6.10,4.23,3.98,4.24,2.50,,
December,9.21,4.88,6.58,4.22,4.10,3.86,4.50,6.98,6.04,5.60,,
Total,58.17,38.69,37.87,66.88,41.51,40.74,46.66,48.39,46.21,47.46,,
Calc annual,58.17,38.69,37.87,66.88,41.51,40.74,46.66,48.39,46.21,47.46,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
