"ERMINGTON THORNHAM",,,,,,,,,,,,
Grid ref,SX640541,Long,-3.913785,Lat,50.371038,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.99,2.62,2.22,,
February,,,,,,,,2.64,3.30,0.62,,
March,,,,,,,,1.46,4.86,7.80,,
April,,,,,,,,6.71,3.04,2.38,,
May,,,,,,,,4.72,2.60,1.16,,
June,,,,,,,,3.90,1.12,2.78,,
July,,,,,,,,2.59,2.65,4.87,,
August,,,,,,,,2.00,3.92,2.31,,
September,,,,,,,,2.53,3.06,1.59,,
October,,,,,,,,8.52,2.01,8.94,,
November,,,,,,,,4.60,1.88,1.72,,
December,,,,,,,,7.72,6.45,8.52,,
Total,,,,,,,,49.38,37.51,44.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.38,37.51,44.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
