"THORNTON CURTIS VICARAGE",,,,,,,,,,,,
Grid ref,TA087179,Long,-0.357076,Lat,53.646323,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.42,0.72,1.16,1.80,1.76,0.38,2.76,0.90,1.31,0.83,,
February,3.39,1.97,1.14,1.02,2.71,0.98,2.19,1.63,1.79,0.79,,
March,0.53,1.61,1.51,2.51,1.66,2.51,1.70,1.42,2.26,3.39,,
April,1.33,1.63,1.23,1.91,1.14,1.84,1.06,1.75,2.06,1.85,,
May,1.60,0.92,2.50,2.41,1.85,0.57,1.76,3.98,1.36,0.97,,
June,2.60,2.02,2.60,1.63,0.69,2.01,1.70,2.92,1.07,2.83,,
July,1.38,0.93,2.80,2.24,2.88,1.25,1.28,1.36,3.23,3.48,,
August,4.95,5.33,2.59,4.70,4.78,2.75,1.27,1.32,1.76,6.09,,
September,1.47,0.64,0.74,3.48,1.91,1.75,0.86,0.63,1.74,1.69,,
October,2.69,2.06,3.09,5.75,0.52,2.20,5.79,4.10,0.87,3.52,,
November,2.49,2.82,1.19,1.49,1.56,2.65,3.30,2.23,1.35,0.70,,
December,2.84,3.77,1.99,0.75,1.54,0.60,1.99,2.40,1.53,4.22,,
Total,27.69,24.42,22.54,29.69,23.00,19.49,25.66,24.64,20.33,30.36,,
Calc annual,27.69,24.42,22.54,29.69,23.00,19.49,25.66,24.64,20.33,30.36,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
