"BRUTON MARKSDANES",,,,,,,,,,,,
Grid ref,ST686357,Long,-2.450009,Lat,51.119719,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.11,,,,,,
February,,,,,,0.82,,,,,,
March,,,,,,3.25,,,,,,
April,,,,,,2.86,,,,,,
May,,,,,,0.28,,,,,,
June,,,,,,3.13,,,,,,
July,,,,,,0.67,,,,,,
August,,,,,,4.91,,,,,,
September,,,,,,2.11,,,,,,
October,,,,,,2.04,,,,,,
November,,,,,,3.66,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.84,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
