"SWANSEA W W (CRAY RESERVOIR)",,,,,,,,,,,,
Grid ref,SN878208,Long,-3.631219,Lat,51.874448,,,,,,,
Station no,4188,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.52,7.97,4.98,13.66,13.29,3.82,13.40,5.17,8.56,5.05,,
February,6.79,3.82,2.86,10.13,9.98,3.79,9.53,4.72,5.74,1.65,,
March,1.83,7.57,4.93,16.56,3.81,12.34,7.22,4.43,8.66,7.93,,
April,3.24,7.67,4.57,3.25,8.01,9.72,1.92,5.82,3.36,5.94,,
May,5.52,1.55,4.39,5.50,4.47,0.79,6.64,5.68,7.49,2.85,,
June,7.54,3.83,3.13,1.93,3.18,4.39,4.24,10.54,1.95,4.80,,
July,2.38,2.54,2.88,4.56,3.96,2.52,1.61,7.72,9.45,5.90,,
August,9.30,5.99,5.12,12.10,4.63,8.92,6.92,6.90,8.84,2.82,,
September,3.72,5.48,4.04,9.44,6.07,4.75,1.79,2.57,5.41,5.80,,
October,10.91,6.11,8.65,22.70,4.33,4.90,13.25,12.33,2.85,17.60,,
November,7.61,3.90,7.95,6.47,5.32,9.78,7.92,7.22,7.44,4.58,,
December,15.98,13.16,9.02,7.24,9.11,3.66,5.75,13.67,9.04,16.25,,
Total,84.34,69.59,62.52,113.54,76.16,69.38,80.19,86.77,78.79,81.17,,
Calc annual,84.34,69.59,62.52,113.54,76.16,69.38,80.19,86.77,78.79,81.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
