"LOCH SHIEL GLENFINNAN",,,,,,,,,,,,
Grid ref,NM901806,Long,-5.445548,Lat,56.869188,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,13.73,8.47,10.75,14.34,12.67,12.45,16.47,10.42,15.79,15.47,,
February,4.43,4.85,2.24,17.00,8.07,11.03,7.75,10.49,15.64,8.15,,
March,1.22,5.46,11.83,14.46,5.17,10.51,7.67,8.77,10.21,1.37,,
April,9.70,6.78,5.48,4.64,15.18,4.87,6.34,5.68,4.65,5.84,,
May,8.10,2.60,6.50,5.42,7.46,5.14,2.98,5.12,4.86,6.02,,
June,4.92,6.90,1.45,2.69,8.78,2.21,1.26,9.60,8.93,2.66,,
July,7.19,6.27,7.22,10.11,5.76,6.93,9.94,3.71,5.91,10.12,,
August,10.30,7.19,7.06,15.49,6.72,10.11,7.47,12.98,9.00,9.38,,
September,12.30,7.17,9.09,8.50,10.22,11.00,8.04,5.20,14.36,4.39,,
October,13.00,13.10,9.85,18.70,10.49,11.21,9.96,4.74,3.47,15.27,,
November,6.54,9.13,6.64,14.13,7.11,8.32,11.49,11.44,11.80,11.83,,
December,20.93,9.21,12.20,8.97,14.05,10.34,15.14,12.30,16.59,12.06,,
Total,112.36,87.13,90.31,134.45,111.68,104.12,104.51,100.45,121.21,102.56,,
Calc annual,112.36,87.13,90.31,134.45,111.68,104.12,104.51,100.45,121.21,102.56,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
