"EXMOUTH ISCA ROAD",,,,,,,,,,,,
Grid ref,SY011805,Long,-3.399276,Lat,50.615797,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.46,,,,,,,,,,
February,,0.65,,,,,,,,,,
March,,3.46,,,,,,,,,,
April,,3.08,,,,,,,,,,
May,,1.11,,,,,,,,,,
June,,2.26,,,,,,,,,,
July,,2.43,,,,,,,,,,
August,,0.92,,,,,,,,,,
September,,3.00,,,,,,,,,,
October,,1.23,,,,,,,,,,
November,,0.74,,,,,,,,,,
December,,6.52,,,,,,,,,,
Total,,27.86,,,,,,,,,,
Calc annual,0.00,27.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
