"DUNBOYNE STIRLING CLONEE",,,,,,,,,,,,
Grid ref,IO0089641531,Long,-6.483133,Lat,53.414477,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.73,0.73,2.74,1.61,,
February,,,,,,,2.12,1.53,1.69,0.67,,
March,,,,,,,1.77,2.48,1.95,3.14,,
April,,,,,,,1.48,2.86,2.06,4.91,,
May,,,,,,,3.23,2.88,1.65,1.41,,
June,,,,,,,2.13,2.97,1.48,1.91,,
July,,,,,,,1.32,1.43,2.39,3.22,,
August,,,,,,,2.46,2.66,2.74,1.11,,
September,,,,,,,1.07,0.58,3.92,2.01,,
October,,,,,,,3.98,4.13,1.85,4.22,,
November,,,,,,,2.11,2.32,1.70,1.86,,
December,,,,,,,2.37,2.68,1.99,4.39,,
Total,,,,,,,27.77,27.25,26.16,30.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.77,27.25,26.16,30.46,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
