"KIRK LANGLEY",,,,,,,,,,,,
Grid ref,SK288389,Long,-1.572842,Lat,52.946718,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.41,1.26,1.33,,,
February,,,,,,,2.52,2.66,1.80,,,
March,,,,,,,,1.66,2.63,,,
April,,,,,,,0.84,1.80,2.40,,,
May,,,,,,,1.93,3.72,3.06,,,
June,,,2.53,,,,1.63,3.56,1.90,,,
July,,,1.67,,,,0.55,3.16,2.56,,,
August,,,3.18,,,,1.53,2.61,4.50,,,
September,,,1.61,,,,1.10,1.00,2.23,,,
October,,,3.69,,,,7.30,4.48,1.26,,,
November,,,2.19,,,,3.99,2.52,1.62,,,
December,,,2.42,,,,3.38,3.34,2.15,,,
Total,,,,,,,,31.77,27.44,,,
Calc annual,0.00,0.00,17.29,0.00,0.00,0.00,29.18,31.77,27.44,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
