"KELLS HEADFORT",,,,,,,,,,,,
Grid ref,IN7610076600,Long,-6.847465,Lat,53.733688,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.48,4.50,,,3.16,1.44,4.17,1.41,2.97,2.02,,
February,2.98,1.19,,,3.84,1.23,1.91,2.07,1.87,0.95,,
March,0.88,3.54,,,3.04,4.55,2.22,2.88,3.86,3.34,,
April,3.38,2.21,,,1.82,1.97,1.72,2.10,1.83,4.56,,
May,2.58,3.07,,,2.08,0.87,3.83,3.25,2.55,1.78,,
June,4.34,2.76,,,1.74,1.34,2.02,3.71,1.28,2.06,,
July,3.96,0.71,,,3.92,1.50,2.59,1.50,2.14,2.99,,
August,6.22,4.34,,,3.76,7.17,3.97,2.26,1.62,1.14,,
September,2.10,6.03,,,2.68,1.65,0.89,1.20,4.76,1.88,,
October,6.58,4.49,,,1.49,1.19,4.50,4.45,1.85,5.05,,
November,6.49,2.28,,,1.91,2.97,1.89,2.73,1.88,1.48,,
December,4.57,3.59,,,1.70,2.43,2.67,2.93,2.77,5.29,,
Total,48.56,38.71,30.00,41.00,31.14,28.31,32.38,30.49,29.38,32.54,,
Calc annual,48.56,38.71,0.00,0.00,31.14,28.31,32.38,30.49,29.38,32.54,,
Difference,0.00,-0.00,30.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,,
