"SELKIRK THE HANGINGSHAW",,,,,,,,,,,,
Grid ref,NT398302,Long,-2.956015,Lat,55.561746,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.85,1.86,1.50,5.27,2.50,1.16,3.64,0.42,2.96,3.49,,
February,5.21,1.14,2.38,6.04,3.13,1.31,1.87,2.30,2.56,1.96,,
March,1.47,2.18,1.48,5.96,2.12,2.68,2.19,2.56,6.07,5.62,,
April,2.29,2.87,1.83,1.09,2.43,2.53,1.19,2.63,1.55,3.18,,
May,2.10,2.56,3.33,1.07,2.77,1.09,6.61,3.91,1.51,2.49,,
June,4.23,2.31,1.57,1.90,2.60,1.94,1.46,2.79,1.28,2.45,,
July,2.76,1.17,3.61,4.42,2.85,1.67,2.16,2.35,1.97,2.29,,
August,4.58,3.93,1.74,4.01,2.13,3.78,6.41,4.51,2.83,2.38,,
September,1.88,2.29,1.97,2.42,1.31,2.04,0.89,0.93,1.80,1.66,,
October,4.65,2.73,2.28,10.12,0.99,2.76,5.27,6.42,1.86,5.96,,
November,3.78,4.19,3.17,1.31,2.03,3.59,4.06,2.42,1.84,0.70,,
December,4.89,4.20,3.20,2.56,3.06,0.84,2.83,4.65,1.47,3.41,,
Total,42.69,31.43,28.06,46.17,27.92,25.39,38.58,35.89,27.70,35.59,,
Calc annual,42.69,31.43,28.06,46.17,27.92,25.39,38.58,35.89,27.70,35.59,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
