"BELTURBET RED HILLS",,,,,,,,,,,,
Grid ref,IH4460017000,Long,-7.318908,Lat,54.100306,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.70,2.69,2.16,,,,,,,,,
February,2.15,1.35,1.92,,,,,,,,,
March,0.13,2.33,1.75,,,,,,,,,
April,1.96,2.19,2.03,,,,,,,,,
May,2.47,1.51,3.01,,,,,,,,,
June,2.81,3.03,1.62,,,,,,,,,
July,1.63,1.18,3.19,,,,,,,,,
August,4.26,3.59,2.29,,,,,,,,,
September,1.90,2.89,2.92,,,,,,,,,
October,3.57,2.66,1.77,,,,,,,,,
November,2.62,2.10,2.22,,,,,,,,,
December,2.98,2.87,1.69,,,,,,,,,
Total,29.18,28.39,26.57,,,,,,,,,
Calc annual,29.18,28.39,26.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
