"COOLE MAYNE RECTORY",,,,,,,,,,,,
Grid ref,IN4162171500,Long,-7.370621,Lat,53.691750,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.35,2.54,2.20,,
February,,,,,,,,2.40,2.25,1.24,,
March,,,,,,,,3.29,3.18,3.35,,
April,,,,,,,,1.92,2.57,3.69,,
May,,,,,,,,3.28,2.77,1.69,,
June,,,,,,,,4.91,1.40,2.31,,
July,,,,,,,,2.30,2.09,3.59,,
August,,,,,,,,3.08,2.34,1.27,,
September,,,,,,,,1.40,4.17,2.13,,
October,,,,,,,,4.37,1.48,5.05,,
November,,,,,,,,2.31,3.80,1.72,,
December,,,,,,,,3.85,3.51,4.31,,
Total,,,,,,,,34.46,32.10,32.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.46,32.10,32.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
