"DUMFRIES, CRIGHTON ROYAL INST.",,,,,,,,,,,,
Grid ref,NX980746,Long,-3.598293,Lat,55.055378,,,,,,,
Station no,5028,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,4.39,,
February,,,,,,,,,,1.63,,
March,,,,,,,,,,4.61,,
April,,,,,,,,,,3.85,,
May,,,,,,,,,,2.02,,
June,,,,,,,,,,3.66,,
July,,,,,,,,,,3.46,,
August,,,,,,,,,,1.79,,
September,,,,,,,,,,2.05,,
October,,,,,,,,,,9.47,,
November,,,,,,,,,,1.15,,
December,,,,,,,,,,5.47,,
Total,,,,,,,,,,43.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
