"DUMFRIES CARRUCHAN",,,,,,,,,,,,
Grid ref,NX949738,Long,-3.646505,Lat,55.047546,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.00,2.16,3.85,2.18,4.56,5.34,,
February,,,,,2.99,2.62,2.49,3.58,3.20,1.86,,
March,,,,,3.20,4.85,3.10,4.40,4.93,6.22,,
April,,,,,3.74,3.38,1.05,2.75,1.73,3.87,,
May,,,,,1.91,2.89,6.49,4.60,3.93,2.07,,
June,,,,,2.25,2.10,2.05,6.65,3.15,3.50,,
July,,,,,3.28,1.54,2.57,1.90,3.87,4.61,,
August,,,,,4.50,3.43,7.22,4.72,3.13,2.10,,
September,,,,,1.98,1.87,0.95,0.82,5.30,2.33,,
October,,,,,2.68,2.82,5.17,8.11,1.98,10.84,,
November,,,,,2.75,4.21,2.94,3.76,2.63,1.46,,
December,,,,,3.36,2.66,3.70,5.90,4.32,6.52,,
Total,,,,,35.64,34.53,41.58,49.37,42.73,50.72,,
Calc annual,0.00,0.00,0.00,0.00,35.64,34.53,41.58,49.37,42.73,50.72,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
