"ST AUBINS RAILWAY STATION",,,,,,,,,,,,
Grid ref,WV604486,Long,-2.171155,Lat,49.186253,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.88,2.01,2.46,3.04,5.47,2.05,4.80,1.57,0.88,2.15,,
February,5.01,1.67,1.83,2.40,4.89,2.18,3.67,1.85,2.25,0.78,,
March,1.87,3.01,2.58,2.90,1.58,5.14,1.94,0.70,3.55,4.53,,
April,1.22,4.81,3.32,1.94,2.08,1.90,1.24,2.66,2.35,0.90,,
May,1.39,1.18,3.52,2.65,2.32,0.19,1.84,2.85,1.30,0.59,,
June,1.77,0.85,1.93,3.06,0.76,3.39,0.72,2.02,0.77,3.58,,
July,1.34,2.01,1.06,2.56,2.53,0.53,0.52,1.97,0.84,1.75,,
August,1.98,1.93,2.85,3.97,2.67,2.30,0.65,0.60,1.96,0.89,,
September,1.29,1.53,1.72,3.22,2.61,3.04,0.91,1.23,2.58,2.09,,
October,2.38,3.87,2.92,6.32,4.42,2.12,3.37,6.76,2.80,7.20,,
November,6.50,1.31,2.68,3.18,3.40,6.26,5.98,3.21,1.31,2.09,,
December,5.00,5.38,3.55,2.91,4.61,1.21,3.54,3.21,4.57,5.12,,
Total,34.63,29.56,30.42,38.15,37.34,30.31,29.18,28.63,25.16,31.67,,
Calc annual,34.63,29.56,30.42,38.15,37.34,30.31,29.18,28.63,25.16,31.67,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
