"BRAUNTON PRESTON HOUSE SAUNTON",,,,,,,,,,,,
Grid ref,SS444378,Long,-4.224574,Lat,51.118302,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.33,1.91,1.54,4.35,3.54,1.40,6.48,1.95,1.82,2.27,,
February,4.96,1.12,0.91,1.75,4.74,1.14,2.80,1.59,2.31,0.40,,
March,1.15,2.09,2.50,4.46,1.19,3.31,2.15,0.82,3.27,3.88,,
April,1.26,2.38,0.90,2.06,1.41,1.95,1.43,3.63,1.60,2.34,,
May,0.84,0.75,2.19,2.31,1.95,0.06,3.49,3.97,1.31,1.39,,
June,2.32,3.93,2.96,1.42,0.85,1.51,1.53,2.63,0.97,1.45,,
July,0.82,1.24,2.38,3.00,3.66,1.80,1.07,1.99,2.55,1.86,,
August,1.94,1.19,2.97,3.20,2.20,3.47,2.84,3.45,5.95,2.05,,
September,1.28,2.43,3.16,3.38,2.39,1.46,1.50,0.72,1.46,2.84,,
October,4.78,4.03,3.29,10.34,2.53,2.26,5.79,5.81,1.61,5.97,,
November,4.40,1.74,3.94,2.78,3.61,3.78,4.61,2.93,1.94,1.73,,
December,5.27,6.23,3.18,3.09,3.19,1.33,3.40,4.74,4.35,5.31,,
Total,33.35,29.04,29.92,42.14,31.26,23.47,37.09,34.23,29.14,31.49,,
Calc annual,33.35,29.04,29.92,42.14,31.26,23.47,37.09,34.23,29.14,31.49,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
