"WEETING [BRANDON] PARKSIDE",,,,,,,,,,,,
Grid ref,TL773886,Long,0.608590,Lat,52.466548,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.81,,
February,,,,,,,,,,0.17,,
March,,,,,,,,,,2.00,,
April,,,,,,,,,,1.09,,
May,,,,,,,,,,1.11,,
June,,,,,,,,,,3.68,,
July,,,,,,,,,,3.20,,
August,,,,,,,,,,2.18,,
September,,,,,,,,,,1.20,,
October,,,,,,,,,,2.68,,
November,,,,,,,,,,0.65,,
December,,,,,,,,,,3.82,,
Total,,,,,,,,,,22.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
