"DORCHESTER WOLLASTON HOUSE",,,,,,,,,,,,
Grid ref,SY693906,Long,-2.436198,Lat,50.714213,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.58,2.78,1.27,3.60,6.74,1.10,8.95,1.80,1.58,1.32,,
February,5.81,1.47,2.10,2.00,6.10,0.62,4.30,1.70,1.90,0.44,,
March,1.42,2.38,2.58,5.11,1.60,5.90,1.43,0.88,3.47,5.41,,
April,1.52,3.38,2.30,3.96,1.23,2.15,1.30,4.51,2.55,1.80,,
May,1.85,1.15,2.45,3.46,3.50,0.37,3.44,2.00,1.90,1.25,,
June,2.90,1.08,3.18,1.82,1.00,1.74,1.85,2.11,0.25,4.28,,
July,0.88,1.70,1.82,3.18,3.02,0.35,1.30,1.31,2.09,3.47,,
August,2.98,2.97,4.22,6.05,3.45,3.42,0.83,1.76,5.64,3.45,,
September,1.75,3.98,1.80,3.35,3.40,2.60,1.21,0.90,2.72,2.95,,
October,2.58,3.13,2.94,8.62,2.56,2.65,6.56,10.50,5.24,10.20,,
November,4.72,0.54,4.70,1.85,1.58,6.02,4.77,4.18,1.50,0.83,,
December,7.09,6.22,2.31,4.25,3.68,1.23,2.34,5.32,4.27,6.87,,
Total,39.08,30.78,31.67,47.25,37.86,28.15,38.28,36.97,33.11,42.27,,
Calc annual,39.08,30.78,31.67,47.25,37.86,28.15,38.28,36.97,33.11,42.27,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
