"DANBY LODGE",,,,,,,,,,,,
Grid ref,NZ715084,Long,-0.898387,Lat,54.465948,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.34,1.27,2.50,,
February,,,,,,,,1.65,1.45,1.80,,
March,,,,,,,,0.98,3.79,5.99,,
April,,,,,,,,2.16,3.14,3.05,,
May,,,,,,,,3.50,2.77,1.87,,
June,,,,,,,,3.02,0.65,5.16,,
July,,,,,,,,2.54,2.33,2.85,,
August,,,,,,,,2.18,2.51,5.38,,
September,,,,,,,,0.50,2.92,3.30,,
October,,,,,,,,5.60,1.54,4.09,,
November,,,,,,,,3.24,1.99,1.82,,
December,,,,,,,,4.58,1.99,4.55,,
Total,,,,,,,,31.29,26.35,42.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.29,26.35,42.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
