"BADDILEY NANTWICH WATERWORKS",,,,,,,,,,,,
Grid ref,SJ604502,Long,-2.592159,Lat,53.047587,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.63,1.17,1.36,2.94,2.13,0.84,5.04,1.29,1.80,1.58,,
February,2.98,1.33,1.03,1.54,2.96,1.03,2.37,1.34,1.91,0.65,,
March,1.23,2.06,1.31,4.46,1.24,2.41,2.11,1.45,2.67,2.17,,
April,1.09,2.16,1.10,2.11,1.18,1.83,1.39,1.80,2.34,1.95,,
May,1.75,1.14,2.85,3.60,1.97,0.95,1.70,3.30,1.91,0.74,,
June,2.27,1.98,1.63,1.56,1.27,4.73,1.76,3.60,2.58,2.85,,
July,2.37,3.24,1.91,3.11,2.58,2.17,0.78,3.51,3.65,3.98,,
August,5.66,2.99,2.99,4.20,4.65,4.30,2.50,3.21,2.94,2.29,,
September,0.59,1.32,1.43,3.99,2.01,1.45,1.57,0.64,4.67,2.85,,
October,3.97,2.15,3.47,5.41,1.22,2.37,4.97,4.19,1.86,3.93,,
November,2.34,2.27,1.57,2.48,1.41,3.53,2.42,2.35,2.35,1.10,,
December,3.16,4.00,2.10,0.77,1.81,0.56,3.08,1.68,2.56,5.21,,
Total,30.04,25.81,22.75,36.17,24.43,26.17,29.69,28.36,31.24,29.30,,
Calc annual,30.04,25.81,22.75,36.17,24.43,26.17,29.69,28.36,31.24,29.30,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
