"HOLNE MOOR, COMBESTONE TOR",,,,,,,,,,,,
Grid ref,SX670719,Long,-3.877949,Lat,50.531715,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.50,3.50,,
February,,,,,,,,,3.50,1.05,,
March,,,,,,,,,6.50,10.20,,
April,,,,,,,,,3.69,4.80,,
May,,,,,,,,,4.62,2.50,,
June,,,,,,,,,1.25,4.02,,
July,,,,,,,,,4.37,4.57,,
August,,,,,,,,,9.02,2.92,,
September,,,,,,,,,4.00,2.82,,
October,,,,,,,,,2.17,16.32,,
November,,,,,,,,,4.05,2.50,,
December,,,,,,,,,7.12,11.55,,
Total,,,,,,,,,53.79,66.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.79,66.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
