"GLENCARRON, GLENUAIG",,,,,,,,,,,,
Grid ref,NH106476,Long,-5.160727,Lat,57.478964,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,23.60,15.70,17.00,16.00,,
February,,,,,,,9.00,15.90,15.80,8.30,,
March,,,,,,,19.00,16.40,10.50,4.80,,
April,,,,,,,11.70,7.10,6.40,6.00,,
May,,,,,,,11.30,4.60,6.00,7.50,,
June,,,,,,,3.20,11.10,7.40,2.50,,
July,,,,,,,11.40,6.10,5.30,10.20,,
August,,,,,,,9.90,12.10,10.40,9.60,,
September,,,,,,,7.50,7.50,13.80,4.90,,
October,,,,,,11.57,12.20,5.90,3.00,13.80,,
November,,,,,,9.50,20.90,10.10,14.50,14.40,,
December,,,,,,13.90,22.30,10.90,13.60,9.00,,
Total,,,,,,,162.00,123.40,123.70,107.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,34.97,162.00,123.40,123.70,107.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
