"KENTCHURCH RECTORY",,,,,,,,,,,,
Grid ref,SO418256,Long,-2.847765,Lat,51.925860,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.78,0.96,1.19,,
February,,,,,,,,1.26,1.03,0.46,,
March,,,,,,,,0.67,3.61,4.09,,
April,,,,,,,,3.37,3.61,2.88,,
May,,,,,,,,3.08,2.10,1.08,,
June,,,,,,,,2.49,1.04,2.11,,
July,,,,,,,,3.51,1.80,2.09,,
August,,,,,,,,1.77,4.13,2.43,,
September,,,,,,,0.81,0.82,2.42,3.12,,
October,,,,,,,6.12,9.52,3.00,4.10,,
November,,,,,,,3.81,2.98,1.67,1.45,,
December,,,,,,,1.75,4.10,2.89,6.58,,
Total,,,,,,,,35.35,28.26,31.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,12.49,35.35,28.26,31.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
