"ALLOA MAR STREET",,,,,,,,,,,,
Grid ref,NS885929,Long,-3.794788,Lat,56.115788,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.34,1.92,2.03,5.80,2.66,0.73,3.96,1.37,3.35,4.69,,
February,2.52,0.86,2.00,6.63,2.87,1.20,1.99,1.99,1.87,0.98,,
March,0.88,2.10,1.37,6.80,1.40,3.89,2.45,2.02,3.24,2.75,,
April,1.85,2.05,0.99,1.11,3.25,1.37,0.69,1.19,0.94,3.59,,
May,2.00,1.50,1.59,0.65,2.52,2.13,4.73,3.46,2.23,2.36,,
June,2.69,1.57,2.35,3.71,1.40,0.86,1.74,4.05,1.24,1.96,,
July,3.70,2.11,2.86,4.48,1.60,2.55,1.73,1.88,2.87,1.72,,
August,2.57,3.70,2.30,4.52,5.04,2.64,6.19,4.33,1.80,2.54,,
September,3.06,2.28,1.53,2.88,2.01,0.89,1.64,0.93,6.26,1.46,,
October,4.36,3.00,1.43,7.81,1.41,2.22,4.15,4.92,1.72,4.10,,
November,4.29,2.27,2.10,1.46,0.93,4.11,3.13,1.76,2.63,2.24,,
December,6.44,3.35,3.89,2.10,3.84,2.44,1.92,4.35,2.16,3.88,,
Total,38.70,26.71,24.44,47.95,28.93,25.03,34.32,32.25,30.31,32.27,,
Calc annual,38.70,26.71,24.44,47.95,28.93,25.03,34.32,32.25,30.31,32.27,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
