"NANTHIR RESERVOIR (ABERDARE)",,,,,,,,,,,,
Grid ref,SN989068,Long,-3.465951,Lat,51.750740,,,,,,,
Station no,4145,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.88,5.89,3.21,10.86,10.82,2.53,11.34,3.78,4.58,4.09,,
February,8.87,2.04,2.73,6.63,8.01,2.19,5.74,3.53,4.38,0.91,,
March,1.18,5.56,3.46,11.55,2.78,8.49,4.78,3.32,6.47,6.73,,
April,2.58,6.04,3.16,2.38,3.72,6.50,1.22,3.98,3.34,5.32,,
May,3.67,1.69,3.04,5.00,3.25,0.48,4.28,3.52,4.32,2.28,,
June,3.78,2.79,3.92,1.49,2.25,3.69,2.29,5.78,1.04,4.36,,
July,1.89,1.29,2.89,3.38,3.39,1.52,1.13,3.21,4.07,3.96,,
August,5.11,3.96,2.64,8.24,5.58,7.29,4.52,5.14,9.96,1.97,,
September,3.09,3.46,2.88,6.02,2.34,3.94,1.69,1.24,3.79,4.93,,
October,9.26,3.24,4.83,17.38,2.81,3.54,9.68,8.59,3.96,14.02,,
November,5.70,3.76,5.52,3.64,5.45,6.27,5.72,3.82,4.59,2.62,,
December,11.65,8.96,6.20,5.83,5.56,2.29,4.22,9.38,6.59,11.13,,
Total,64.66,48.68,44.48,82.40,55.96,48.73,56.61,55.29,57.09,62.32,,
Calc annual,64.66,48.68,44.48,82.40,55.96,48.73,56.61,55.29,57.09,62.32,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
