"DROITWITCH HOLT LOCK",,,,,,,,,,,,
Grid ref,SO821634,Long,-2.263726,Lat,52.268462,,,,,,,
Station no,2390,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.42,1.42,0.64,2.17,2.37,0.87,3.48,0.81,0.59,0.87,,
February,4.52,1.14,1.31,1.81,3.66,0.80,1.56,0.65,1.11,0.33,,
March,0.73,1.70,1.34,3.38,1.02,3.30,0.92,0.70,2.79,2.65,,
April,1.14,1.78,1.97,1.73,1.23,1.97,1.11,1.97,2.71,1.67,,
May,1.77,0.84,2.48,4.60,2.72,0.43,2.27,2.53,1.84,1.16,,
June,2.01,2.76,2.83,2.32,0.65,3.38,3.29,2.95,3.17,3.35,,
July,2.33,2.35,0.99,3.31,2.78,0.98,0.64,2.08,2.21,2.48,,
August,2.66,1.78,3.67,3.60,2.11,5.97,0.88,2.03,2.65,1.66,,
September,0.68,1.43,0.95,3.03,1.98,0.97,0.80,0.32,2.64,3.33,,
October,3.14,1.10,2.81,5.74,0.51,1.29,4.21,6.17,2.22,2.57,,
November,2.26,0.75,2.31,1.49,1.05,2.47,2.03,2.67,1.79,0.88,,
December,5.40,4.42,1.58,1.36,2.08,0.81,1.92,3.28,2.13,4.23,,
Total,30.06,21.47,22.88,34.54,22.16,23.24,23.11,26.16,25.85,25.18,,
Calc annual,30.06,21.47,22.88,34.54,22.16,23.24,23.11,26.16,25.85,25.18,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
