"HAWKHURST HENSILL",,,,,,,,,,,,
Grid ref,TQ754301,Long,0.500714,Lat,51.043478,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.35,4.16,0.98,1.47,0.79,,
February,,,,,,0.84,2.64,1.62,0.89,0.42,,
March,,,,,,3.86,2.01,0.83,2.82,3.32,,
April,,,,,,2.02,0.98,3.60,2.40,1.79,,
May,,,,,,1.85,2.33,2.05,1.26,1.30,,
June,,,,,,4.34,1.54,1.86,1.65,2.29,,
July,,,,,,0.47,0.57,1.46,3.31,3.32,,
August,,,,,,3.00,0.82,1.41,3.57,2.55,,
September,,,,,,2.51,1.77,0.53,2.52,4.02,,
October,,,,,,,5.42,5.92,1.79,8.81,,
November,,,,,,-999.00,6.55,2.84,1.05,0.86,,
December,,,,,,0.60,1.89,2.77,3.74,5.44,,
Total,,,,,,28.37,30.68,25.87,26.47,34.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.84,30.68,25.87,26.47,34.91,,
Difference,NaN,NaN,NaN,NaN,NaN,7.53,-0.00,0.00,0.00,0.00,,
