"WHITEHAVEN HENSINGHAM HOUSE",,,,,,,,,,,,
Grid ref,NX985165,Long,-3.570104,Lat,54.533566,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.77,1.68,4.41,1.55,,,,
February,,,,,2.67,2.11,2.67,1.90,,,,
March,,,,,3.29,4.06,2.22,3.75,,,,
April,,,,,2.85,3.97,1.28,3.50,,,,
May,,,,,2.91,3.30,5.97,4.26,,,,
June,,,,,1.52,2.13,2.07,7.13,,,,
July,,,,,2.61,2.39,2.28,2.41,,,,
August,,,,,4.39,3.19,5.30,5.25,,,,
September,,,,,3.01,2.69,1.67,0.78,,,,
October,,,,,2.58,3.54,5.94,9.35,,,,
November,,,,,3.62,4.72,3.42,4.80,,,,
December,,,,,4.09,2.76,2.56,6.52,,,,
Total,,,,,37.31,36.54,39.79,51.20,,,,
Calc annual,0.00,0.00,0.00,0.00,37.31,36.54,39.79,51.20,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,NaN,,
