"NORTHOP PLAS EVAN",,,,,,,,,,,,
Grid ref,SJ261657,Long,-3.107302,Lat,53.183243,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.07,2.31,3.05,1.05,4.23,1.01,,,,
February,,,2.00,1.60,3.30,1.04,2.25,1.66,,,,
March,,,1.67,4.02,2.17,2.60,3.69,2.10,,,,
April,,,2.31,2.08,0.77,1.90,0.91,1.25,,,,
May,,,3.32,3.19,2.00,0.60,2.12,2.97,,,,
June,,,1.77,1.03,1.18,4.07,0.73,5.19,,,,
July,,3.73,1.63,3.25,2.30,1.79,0.79,3.75,,,,
August,,1.96,3.31,3.44,3.50,4.28,2.74,5.00,,,,
September,,2.38,1.21,3.20,2.11,3.12,1.28,0.28,,,,
October,,0.65,3.83,9.44,0.90,1.49,3.10,5.99,,,,
November,,5.42,1.51,2.61,2.41,1.55,2.58,2.44,,,,
December,,4.36,2.19,1.95,2.34,2.20,4.23,1.99,,,,
Total,,,27.82,38.12,26.03,25.69,28.65,33.63,,,,
Calc annual,0.00,18.50,27.82,38.12,26.03,25.69,28.65,33.63,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
