"WESTERHAM HILL ESTATE",,,,,,,,,,,,
Grid ref,TQ439558,Long,0.061982,Lat,51.283170,,,,,,,
Station no,375,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.37,0.91,0.78,2.70,5.21,1.23,5.60,1.34,1.55,1.11,,
February,4.87,1.53,1.41,1.97,3.62,0.93,2.93,1.68,1.29,0.65,,
March,1.06,2.95,1.83,3.15,1.63,4.21,1.89,1.30,2.98,3.81,,
April,1.18,2.42,0.85,2.48,1.30,1.97,1.03,3.41,3.00,1.65,,
May,1.45,0.81,2.81,2.43,2.50,0.69,1.48,1.66,2.13,1.36,,
June,2.82,1.79,4.72,5.58,0.76,5.62,2.52,2.19,2.01,3.74,,
July,1.17,2.13,1.61,5.21,1.41,0.71,1.38,1.00,3.62,3.38,,
August,3.37,2.12,3.10,4.71,1.12,2.50,0.60,2.47,4.28,2.15,,
September,1.41,1.99,0.36,2.23,1.92,2.30,2.35,0.62,1.40,3.66,,
October,2.31,2.60,2.65,7.25,2.38,1.60,4.74,3.55,1.72,6.24,,
November,3.48,0.91,2.28,2.93,1.71,4.33,6.34,2.19,1.35,1.21,,
December,3.68,5.06,1.90,2.14,3.60,0.73,2.96,3.08,2.62,4.04,,
Total,31.17,25.22,24.30,42.78,27.16,26.82,33.82,24.49,27.95,33.00,,
Calc annual,31.17,25.22,24.30,42.78,27.16,26.82,33.82,24.49,27.95,33.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
