"HARROGATE BEAVER DYKE RESERVOIR",,,,,,,,,,,,
Grid ref,SE230547,Long,-1.650721,Lat,53.987841,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,1.75,1.31,2.07,2.65,0.84,4.07,1.25,1.65,1.03,,
February,4.29,1.35,1.35,2.67,3.52,1.48,1.93,1.56,1.66,1.04,,
March,0.84,1.87,0.97,3.47,2.07,2.67,1.96,2.25,4.20,3.81,,
April,1.66,2.79,1.52,1.28,1.71,2.17,0.81,1.43,2.66,2.73,,
May,1.45,1.61,2.79,4.16,3.06,0.77,2.54,4.20,2.92,1.84,,
June,3.14,1.44,2.05,2.20,1.90,1.46,1.26,4.03,1.03,3.61,,
July,2.92,2.15,2.19,3.72,3.22,1.06,1.84,2.26,3.48,4.21,,
August,6.12,1.18,3.39,3.74,3.96,3.94,2.48,1.92,2.01,3.97,,
September,0.67,1.01,1.21,4.29,1.41,2.28,0.77,0.90,3.35,1.91,,
October,3.80,1.90,3.76,8.12,0.87,2.01,5.29,8.26,2.07,2.24,,
November,3.82,4.34,2.20,1.79,2.97,4.69,4.15,2.58,1.72,1.04,,
December,3.49,3.17,2.12,1.39,1.69,0.68,1.97,3.56,1.40,4.35,,
Total,36.20,24.56,24.86,38.90,29.03,24.05,29.07,34.20,28.15,31.78,,
Calc annual,36.20,24.56,24.86,38.90,29.03,24.05,29.07,34.20,28.15,31.78,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
