"GRIMSBY ABBEY ROAD ERNECROFT""",,,,,,,,,,,,
Grid ref,TA268089,Long,-0.087075,Lat,53.561406,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.11,1.47,0.58,2.63,0.88,1.51,0.67,,
February,,,,0.71,2.41,0.93,2.37,1.89,2.06,1.03,,
March,,,,2.39,1.71,1.52,1.72,1.21,2.06,3.42,,
April,,,,1.95,0.86,1.65,0.55,1.97,2.12,1.65,,
May,,,,2.92,1.58,0.97,1.25,3.29,1.06,1.37,,
June,,,,2.27,0.47,1.99,1.37,2.08,1.19,2.45,,
July,,,,2.24,3.01,1.15,1.16,0.96,2.76,4.28,,
August,,,,5.37,4.28,2.26,2.08,1.55,1.62,5.23,,
September,,,,3.44,1.59,1.26,0.44,0.51,2.03,1.30,,
October,,,,5.43,0.60,1.90,3.68,3.60,0.94,2.98,,
November,,,,2.39,1.61,2.64,3.27,1.75,1.11,0.99,,
December,,,,0.88,1.57,0.43,2.44,2.02,1.04,3.80,,
Total,,,,32.10,21.16,17.28,22.96,21.71,19.50,29.17,,
Calc annual,0.00,0.00,0.00,32.10,21.16,17.28,22.96,21.71,19.50,29.17,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
