"MARYSTOWE VICARAGE",,,,,,,,,,,,
Grid ref,SX434828,Long,-4.215286,Lat,50.623820,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.15,1.80,1.32,,,
February,,,,,,,4.60,1.76,2.70,,,
March,,,,,,,1.57,1.02,4.69,,,
April,,,,,,,1.25,4.97,3.25,,,
May,,,,,,,2.81,3.68,1.72,,,
June,,,,,,,1.68,2.74,1.06,,,
July,,,,,,,1.16,2.65,2.74,,,
August,,,,,,,3.14,1.40,3.90,,,
September,,,,,,,1.06,1.72,1.89,,,
October,,,,,,,6.58,7.77,,,,
November,,,,,,,3.45,3.21,,,,
December,,,,,,,3.54,5.26,,,,
Total,,,,,,,36.99,37.98,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.99,37.98,23.27,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
