"GUILDFORD ECHO HURST",,,,,,,,,,,,
Grid ref,TQ004488,Long,-0.563466,Lat,51.229568,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.85,,
February,,,,,,,,,,0.50,,
March,,,,,,,,,,4.45,,
April,,,,,,,,,,1.94,,
May,,,,,,,,,,1.75,,
June,,,,,,,,,,3.26,,
July,,,,,,,,,,2.47,,
August,,,,,,,,,,2.00,,
September,,,,,,,,,,2.41,,
October,,,,,,,,,,5.23,,
November,,,,,,,,,,0.57,,
December,,,,,,,,,,3.62,,
Total,,,,,,,,,,29.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
