"DOLTON HILLIERS",,,,,,,,,,,,
Grid ref,SS572121,Long,-4.031700,Lat,50.890684,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.67,2.66,2.74,2.40,,
February,,,,,,,,1.52,2.91,0.66,,
March,,,,,,,,1.23,3.45,6.13,,
April,,,,,,,,4.47,2.81,2.74,,
May,,,,,,,,2.62,1.71,1.41,,
June,,,,,,,,3.30,0.97,2.74,,
July,,,,,,,,2.12,2.45,2.44,,
August,,,,,,,,2.73,3.89,1.71,,
September,,,,,,,,0.74,2.09,2.33,,
October,,,,,,,,6.26,1.77,7.32,,
November,,,,,,,,3.01,1.44,2.08,,
December,,,,,,,,5.69,4.30,5.97,,
Total,,,,,,,,36.35,30.53,37.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.67,36.35,30.53,37.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
