"LOCH FYNE OTTER FERRY SCHOOL HOUSE",,,,,,,,,,,,
Grid ref,NR930843,Long,-5.321782,Lat,56.006815,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.86,4.92,,
February,,,,,,,,,3.60,2.75,,
March,,,,,,,,,5.13,1.04,,
April,,,,,,,,,1.77,4.17,,
May,,,,,,,,,2.35,3.28,,
June,,,,,,,,,2.76,2.41,,
July,,,,,,,,,5.06,4.53,,
August,,,,,,,,,4.34,3.04,,
September,,,,,,,,,7.90,1.66,,
October,,,,,,,,,1.60,6.56,,
November,,,,,,,,,4.04,2.81,,
December,,,,,,,,,5.53,5.19,,
Total,,,,,,,,,48.94,42.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.94,42.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
