"PORTSMOUTH MILTON VICTORIA PARK",,,,,,,,,,,,
Grid ref,SU639002,Long,-1.094670,Lat,50.797848,,,,,,,
Station no,675,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.54,1.17,0.91,2.12,3.95,1.08,7.14,0.79,0.92,0.85,,
February,5.25,1.42,1.63,1.61,3.72,0.51,3.25,1.06,0.99,0.27,,
March,1.00,2.23,2.03,2.46,1.03,4.43,1.21,0.34,2.45,-999.00,,
April,1.36,2.34,1.28,2.50,1.38,1.57,0.68,3.48,2.15,1.36,,
May,0.93,0.58,2.08,2.49,4.02,0.41,1.60,2.57,1.41,1.28,,
June,1.69,2.62,2.87,2.19,0.87,3.93,1.52,2.04,0.68,3.90,,
July,1.10,2.89,1.77,2.61,1.26,0.25,0.43,1.14,1.31,2.04,,
August,2.04,1.38,4.13,4.33,2.39,2.48,0.86,0.88,2.33,2.52,,
September,0.29,2.25,0.51,2.99,1.76,2.38,1.43,0.53,1.05,3.56,,
October,3.50,3.08,1.85,7.90,2.06,1.88,4.86,6.99,2.37,7.57,,
November,3.33,0.38,3.57,1.71,1.30,4.51,4.27,2.47,1.36,0.70,,
December,3.37,3.96,1.59,2.27,2.94,0.63,1.51,3.04,3.48,4.62,,
Total,28.40,24.30,24.22,35.18,26.68,24.06,28.76,25.33,20.50,32.60,,
Calc annual,28.40,24.30,24.22,35.18,26.68,24.06,28.76,25.33,20.50,28.67,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,3.93,,
