"RAPHOE CONVOY HOUSE",,,,,,,,,,,,
Grid ref,IC2110001000,Long,-7.672184,Lat,54.856482,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.00,,,,,,,,,,,
February,3.15,,,,,,,,,,,
March,1.00,,,,,,,,,,,
April,2.50,,,,,,,,,,,
May,2.75,,,,,,,,,,,
June,3.75,,,,,,,,,,,
July,2.75,,,,,,,,,,,
August,3.35,,,,,,,,,,,
September,3.15,,,,,,,,,,,
October,5.51,,,,,,,,,,,
November,5.67,,,,,,,,,,,
December,7.14,,,,,,,,,,,
Total,43.72,,,,,,,,,,,
Calc annual,43.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
