"SELLINDGE PENMAIN",,,,,,,,,,,,
Grid ref,TR108379,Long,1.009558,Lat,51.101633,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.01,0.95,1.83,,,
February,,,,,,,2.41,1.59,1.65,,,
March,,,,,,,2.20,1.00,2.44,,,
April,,,,,,,1.54,2.81,1.85,,,
May,,,,,,,1.86,2.50,,,,
June,,,,,,5.85,2.16,1.58,,,,
July,,,,,,1.07,0.56,1.79,,,,
August,,,,,,2.45,0.76,2.18,,,,
September,,,,,,2.81,1.82,0.56,,,,
October,,,,,,2.77,3.56,5.85,,,,
November,,,,,,4.36,6.49,2.33,,,,
December,,,,,,0.87,2.54,2.47,,,,
Total,,,,,,,29.91,25.61,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.18,29.91,25.61,7.77,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
