"FRAMLINGHAM COLLEGE",,,,,,,,,,,,
Grid ref,TM281639,Long,1.338423,Lat,52.226034,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.67,0.59,1.10,,,,,,,,
February,0.55,2.54,0.81,,,,,,,,,
March,0.97,1.89,1.02,,,,,,,,,
April,0.48,1.83,1.27,,,,,,,,,
May,1.33,1.03,2.33,,,,,,,,,
June,3.85,2.03,2.74,3.95,,,,,,,,
July,0.78,0.64,3.47,4.41,,,,,,,,
August,2.37,0.90,,,,,,,,,,
September,1.03,0.88,1.11,,,,,,,,,
October,2.47,2.42,1.91,3.50,,,,,,,,
November,1.53,1.43,,2.37,,,,,,,,
December,1.61,4.19,,1.23,,,,,,,,
Total,,22.45,,26.40,,22.06,,,,,,
Calc annual,16.97,22.45,15.25,16.56,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,9.84,NaN,22.06,NaN,NaN,NaN,NaN,,
