"PETERBOROUGH, MINSTER CLOSE",,,,,,,,,,,,
Grid ref,TL194986,Long,-0.239621,Lat,52.572125,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.75,1.03,3.43,1.06,0.83,,,
February,,,,,2.62,0.71,1.73,1.09,1.33,,,
March,,,,,1.47,2.20,1.64,1.05,2.02,,,
April,,,,,0.59,1.22,0.59,2.81,2.43,,,
May,,,,,1.95,0.89,1.96,2.99,1.45,,,
June,,,,,0.50,2.68,2.99,1.15,1.09,,,
July,,,,,1.93,1.01,0.55,2.03,2.18,,,
August,,,,,,3.04,2.02,2.20,2.52,,,
September,,,,,,2.15,1.03,0.42,2.58,,,
October,,,,,,1.37,3.60,3.23,1.23,,,
November,,,,,,2.31,3.70,2.53,1.08,,,
December,,,,,,0.65,2.43,2.70,1.16,,,
Total,,,,,,19.26,25.67,23.26,19.90,,,
Calc annual,0.00,0.00,0.00,0.00,10.81,19.26,25.67,23.26,19.90,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,,
