"MULROY GARDENS",,,,,,,,,,,,
Grid ref,IC2040025400,Long,-7.681355,Lat,55.075709,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.46,4.04,6.40,,
February,,,,,,,,,3.78,3.65,,
March,,,,,,,,,5.01,3.67,,
April,,,,,,,,,3.39,3.73,,
May,,,,,,,,,2.33,2.31,,
June,,,,,,,,6.62,2.17,2.46,,
July,,,,,,,,,3.35,5.71,,
August,,,,,,,,6.41,5.48,3.24,,
September,,,,,,,,,8.90,3.04,,
October,,,,,,,,,0.92,6.17,,
November,,,,,,,,,3.59,3.78,,
December,,,,,,,,,6.34,5.60,,
Total,,,,,,,,57.83,49.30,49.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.49,49.30,49.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.34,-0.00,-0.00,,
